current_path,target_owner,proposed_target_path,action,naming,consumer_class,risk_class
lib/adaptive-context-strategies.ts,Agents,lib/agents/adaptive-context-strategies.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/adaptive-context-strategy-core.mjs,Agents,lib/agents/adaptive-context-strategy-core.mjs,stay-and-move,preserve,A,HIGH_AGENT
lib/agent-orchestration.ts,Agents,lib/agents/agent-orchestration.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/agent-profiles.ts,Agents,lib/agents/agent-profiles.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/agent-window-status.mjs,Agents,lib/agents/agent-window-status.mjs,stay-and-move,preserve,A,HIGH_AGENT
lib/context-engine.ts,Agents,lib/agents/context-engine.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/responsibility-graph.ts,Agents,lib/agents/responsibility-graph.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/responsibility-run-interrupts.ts,Agents,lib/agents/responsibility-run-interrupts.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/responsibility-runs.ts,Agents,lib/agents/responsibility-runs.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/specialist-labs.ts,Agents,lib/agents/specialist-labs.ts,stay-and-move,preserve,A,HIGH_AGENT
lib/buzz-default-community.ts,BUZZ,lib/buzz/buzz-default-community.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/buzz-guildhall.ts,BUZZ,lib/buzz/buzz-guildhall.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/buzz-managed-runtime.ts,BUZZ,lib/buzz/buzz-managed-runtime.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/buzz-runtime.ts,BUZZ,lib/buzz/buzz-runtime.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/buzz-story-room.ts,BUZZ,lib/buzz/buzz-story-room.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/community-agent-roster.ts,BUZZ,lib/buzz/community-agent-roster.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/community-conversation.ts,BUZZ,lib/buzz/community-conversation.ts,stay-and-move,preserve,B,HIGH_BUZZ
lib/candidate-comparison.ts,Projects,lib/projects/candidate-comparison.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/canon-binder.ts,Projects,lib/projects/canon-binder.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/collaboration-invitations.ts,Projects,lib/projects/collaboration-invitations.ts,stay-and-move,preserve,P,HIGH_PROJECT
lib/collaboration-language.ts,Projects,lib/projects/collaboration-language.ts,stay-and-move,preserve,P,HIGH_PROJECT
